Name,Description,Price1,Price2,Image
Kunstmann,Cerveza sin Filtrar Ipa,$1.590,$ Precio x L : $4.818,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/857055a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Heineken,Pack Cerveza Premium Lager,$5.290,$ Precio x L : $16.030,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/9603a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Austral,Pack Cerveza Pale Ale,$5.390,$ Precio x L : $16.333,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/304273a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Kross,Pack Cerveza Stout,$5.190,$ Precio x L : $15.727,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/274758a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Guayacán,"Cerveza India Pale Ale 6,5º",$1.550,$ Precio x L : $4.697,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/946481a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Volcanes del Sur,Cerveza Chocolate Naranja Botella,$1.490,$ Precio x L : $4.257,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/771572a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Royal Guard,Pack Cerveza Lager (6 Latas 350cc c/u),$3.190,$ Precio x Un : $532,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/304423a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Coors,Six Pack cervezas Coors Original 5º,$3.490,$ Precio x Un : $582,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/997706a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Modelo,Cerveza Lager,$1.190,$ Precio x L : $3.662,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/622543a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Estrella Damm,Cerveza Inedit Damm,$1.390,$ Precio x L : $4.212,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/937887a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
